Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Georgia,GEO,"Natural capital, nonrenewable assets: minerals (constant 2018 US$)",NW.NCA.MINR.TO,1350000000,7.68E+08,6.77E+08,5.66E+08
Georgia,GEO,"Natural capital, nonrenewable assets: oil (constant 2018 US$)",NW.NCA.SAOI.TO,362000000,3.23E+08,3.44E+08,4.21E+08
Georgia,GEO,"Natural capital, protected areas (constant 2018 US$)",NW.NCA.PRAR.TO,1140000000,1.11E+09,1.11E+09,1.10E+09
Georgia,GEO,"Natural capital, renewable (constant 2018 US$)",NW.NCA.RNEW.TO,12900000000,1.28E+10,1.34E+10,1.35E+10
Georgia,GEO,Net foreign assets (constant 2018 US$),NW.NFA.TO,-19000000000,-2.10E+10,-2.30E+10,-2.30E+10
Georgia,GEO,Net foreign assets per capita (constant 2018 US$),NW.NFA.PC,-5175.21,-5691.93,-6249.82,-6159.38
Georgia,GEO,Produced capital (constant 2018 US$),NW.PCA.TO,76800000000,7.94E+10,8.19E+10,8.46E+10
Georgia,GEO,Produced capital per capita (constant 2018 US$),NW.PCA.PC,20613.91,21288.49,21957.96,22690.1
Georgia,GEO,Total wealth (constant 2018 US$),NW.TOW.TO,1.34E+11,1.36E+11,1.37E+11,1.44E+11
Georgia,GEO,Total wealth per capita (constant 2018 US$),NW.TOW.PC,35996.92,36431.09,36837.23,38509.82
Germany,DEU,Human capital (constant 2018 US$),NW.HCA.TO,2.98E+13,3.04E+13,3.12E+13,3.17E+13
Germany,DEU,Human capital per capita (constant 2018 US$),NW.HCA.PC,364994.6,368733.3,377617.6,381761.4
Germany,DEU,"Human capital per capita, employed female (constant 2018 US$)",NW.HCA.FEMP.PC,105608.9,106794.7,109114,110030.8
Germany,DEU,"Human capital per capita, employed male (constant 2018 US$)",NW.HCA.MEMP.PC,226180.1,229423.7,235195.9,238057.4
Germany,DEU,"Human capital per capita, female (constant 2018 US$)",NW.HCA.FEMA.PC,116178.2,117122.6,119669.4,120674.9
Germany,DEU,"Human capital per capita, male (constant 2018 US$)",NW.HCA.MALE.PC,248816.4,251610.8,257948.2,261086.5
Germany,DEU,"Human capital per capita, self-employed female (constant 2018 US$)",NW.HCA.FSEM.PC,10569.39,10327.89,10555.43,10644.11
Germany,DEU,"Human capital per capita, self-employed male (constant 2018 US$)",NW.HCA.MSEM.PC,22636.24,22187.08,22752.28,23029.1
Germany,DEU,"Human capital, employed female (constant 2018 US$)",NW.HCA.FEMP.TO,8.63E+12,8.79E+12,9.02E+12,9.12E+12
Germany,DEU,"Human capital, employed male (constant 2018 US$)",NW.HCA.MEMP.TO,1.85E+13,1.89E+13,1.94E+13,1.97E+13
Germany,DEU,"Human capital, female (constant 2018 US$)",NW.HCA.FEMA.TO,9.49E+12,9.64E+12,9.89E+12,1.00E+13
Germany,DEU,"Human capital, male (constant 2018 US$)",NW.HCA.MALE.TO,2.03E+13,2.07E+13,2.13E+13,2.16E+13
Germany,DEU,"Human capital, self-employed female (constant 2018 US$)",NW.HCA.FSEM.TO,8.63E+11,8.50E+11,8.72E+11,8.82E+11
Germany,DEU,"Human capital, self-employed male (constant 2018 US$)",NW.HCA.MSEM.TO,1.85E+12,1.83E+12,1.88E+12,1.91E+12
Germany,DEU,Natural capital (constant 2018 US$),NW.NCA.TO,4.96E+11,4.72E+11,4.62E+11,4.58E+11
Germany,DEU,Natural capital per capita (constant 2018 US$),NW.NCA.PC,6073.574,5734.065,5585.579,5523.566
Germany,DEU,"Natural capital per capita, agricultural land (constant 2018 US$)",NW.NCA.AGRI.PC,2720.146,2600.233,2516.717,2479.969
Germany,DEU,"Natural capital per capita, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.PC,1304.506,1251.131,1166.188,1161.311
